report_school_year,aggregation_type,School,lea_beds,District,nrc_code,District_Desc,county_code,county_name,nyc_ind,boces_code,boces_name,subgroup_name,enrollment_count,graduation_count,graduation_percentage,regents_diploma_count,regents_diploma_percentage,advanced_regents_diploma_count,advanced_regents_diploma_percentage,ged_count,ged_percentage,dropout_count,dropout_percentage
2018-19,School,GREECE-ATHENA HIGH SCHOOL,2.60501E+11,GREECE CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,276,252,0.91,91,0.33,144,0.52,1,0,2,0.01
2018-19,School,YOUNG WOMEN'S COLLEGE PREP CHARTER SCHOOL OF ROCHESTER,2.60502E+11,YOUNG WOMEN'S COLLEGE PREPARATORY CHARTER SCHOOL OF ROCHESTE,7,Charters,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,44,41,0.93,29,0.66,5,0.11,0,0,0,0
2018-19,School,EASTRIDGE SENIOR HIGH SCHOOL,2.60801E+11,EAST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,242,215,0.89,88,0.36,103,0.43,3,0.01,15,0.06
2018-19,School,IRONDEQUOIT HIGH SCHOOL,2.60803E+11,WEST IRONDEQUOIT CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,309,298,0.96,74,0.24,210,0.68,1,0,3,0.01
2018-19,School,HONEOYE FALLS-LIMA SENIOR HIGH SCHOOL,2.60901E+11,HONEOYE FALLS-LIMA CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,198,190,0.96,58,0.29,129,0.65,1,0.01,4,0.02
2018-19,School,SPENCERPORT HIGH SCHOOL,2.61001E+11,SPENCERPORT CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,280,261,0.93,89,0.32,166,0.59,1,0,10,0.04
2018-19,School,HILTON HIGH SCHOOL,2.61101E+11,HILTON CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,389,360,0.93,119,0.31,227,0.58,2,0.01,7,0.02
2018-19,School,PENFIELD SENIOR HIGH SCHOOL,2.61201E+11,PENFIELD CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,374,353,0.94,65,0.17,279,0.75,6,0.02,5,0.01
2018-19,School,FAIRPORT SENIOR HIGH SCHOOL,2.61301E+11,FAIRPORT CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,489,468,0.96,146,0.3,317,0.65,0,0,3,0.01
2018-19,School,EAST ROCHESTER JUNIOR-SENIOR HIGH SCHOOL,2.61313E+11,EAST ROCHESTER UNION FREE SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,61,55,0.9,25,0.41,27,0.44,0,0,4,0.07
2018-19,School,PITTSFORD SUTHERLAND HIGH SCHOOL,2.61401E+11,PITTSFORD CENTRAL SCHOOL DISTRICT,6,Low Needs,26,MONROE,0,2691,MONROE 1,All Students,218,215,0.99,63,0.29,150,0.69,0,0,1,0
2018-19,School,PITTSFORD-MENDON HIGH SCHOOL,2.61401E+11,PITTSFORD CENTRAL SCHOOL DISTRICT,6,Low Needs,26,MONROE,0,2691,MONROE 1,All Students,240,238,0.99,44,0.18,193,0.8,0,0,2,0.01
2018-19,School,CHURCHVILLE-CHILI SENIOR HIGH SCHOOL,2.61501E+11,CHURCHVILLE-CHILI CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,316,301,0.95,104,0.33,184,0.58,2,0.01,5,0.02
2018-19,School,SCHOOL 58-WORLD OF INQUIRY SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,91,83,0.91,58,0.64,13,0.14,0,0,4,0.04
2018-19,School,EAST HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,178,124,0.7,93,0.52,11,0.06,0,0,41,0.23
2018-19,School,JAMES MONROE HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,201,122,0.61,65,0.32,7,0.03,0,0,43,0.21
2018-19,School,JOSEPH C. WILSON MAGNET HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,221,150,0.68,108,0.49,18,0.08,0,0,27,0.12
2018-19,School,SCHOOL WITHOUT WALLS,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,61,50,0.82,45,0.74,0,0,0,0,4,0.07
2018-19,School,NORTHEAST COLLEGE PREPARATORY HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,157,105,0.67,66,0.42,8,0.05,0,0,21,0.13
2018-19,School,SCHOOL OF THE ARTS,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,179,172,0.96,105,0.59,47,0.26,0,0,1,0.01
2018-19,School,ROBERT BROWN SCHOOL OF CONSTRUCTION AND DESIGN,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,445,233,0.52,159,0.36,7,0.02,0,0,75,0.17
2018-19,School,VANGUARD COLLEGIATE HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,188,65,0.35,34,0.18,3,0.02,0,0,60,0.32
2018-19,School,INTEGRATED ARTS AND TECHNOLOGY HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,127,67,0.53,45,0.35,3,0.02,0,0,32,0.25
2018-19,School,ROCHESTER EARLY COLLEGE INTERNATIONAL HIGH SCHOOL,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,81,74,0.91,44,0.54,4,0.05,0,0,4,0.05
2018-19,School,LEADERSHIP ACADEMY FOR YOUNG MEN,2.616E+11,ROCHESTER CITY SCHOOL DISTRICT,2,Buffalo  Rochester  Yonkers  Syracuse,26,MONROE,0,2691,MONROE 1,All Students,93,57,0.61,45,0.48,2,0.02,1,0.01,18,0.19
2018-19,School,TRUE NORTH ROCHESTER PREPARATORY CHARTER SCHOOL (THE),2.61601E+11,TRUE NORTH ROCHESTER PREPARATORY CHARTER SCHOOL,7,Charters,26,MONROE,0,2691,MONROE 1,All Students,62,53,0.85,49,0.79,0,0,0,0,0,0
2018-19,School,ROCHESTER ACADEMY CHARTER SCHOOL,2.61601E+11,ROCHESTER ACADEMY CHARTER SCHOOL,7,Charters,26,MONROE,0,2691,MONROE 1,All Students,45,44,0.98,28,0.62,13,0.29,0,0,1,0.02
2018-19,School,UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN,2.61601E+11,UNIVERSITY PREPARATORY CHARTER SCHOOL FOR YOUNG MEN,7,Charters,26,MONROE,0,2691,MONROE 1,All Students,51,47,0.92,31,0.61,7,0.14,0,0,1,0.02
2018-19,School,VERTUS CHARTER SCHOOL,2.61601E+11,VERTUS CHARTER SCHOOL,7,Charters,26,MONROE,0,2691,MONROE 1,All Students,64,42,0.66,37,0.58,0,0,0,0,6,0.09
2018-19,School,RUSH-HENRIETTA SENIOR HIGH SCHOOL,2.61701E+11,RUSH-HENRIETTA CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,397,377,0.95,113,0.28,252,0.63,2,0.01,11,0.03
2018-19,School,BROCKPORT HIGH SCHOOL,2.61801E+11,BROCKPORT CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,251,225,0.9,87,0.35,126,0.5,3,0.01,5,0.02
2018-19,School,WEBSTER-SCHROEDER HIGH SCHOOL,2.61901E+11,WEBSTER CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,307,289,0.94,85,0.28,191,0.62,3,0.01,7,0.02
2018-19,School,THOMAS HIGH SCHOOL,2.61901E+11,WEBSTER CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2691,MONROE 1,All Students,343,334,0.97,113,0.33,210,0.61,1,0,1,0
2018-19,School,WHEATLAND CHILI HIGH SCHOOL,2.62001E+11,WHEATLAND-CHILI CENTRAL SCHOOL DISTRICT,5,Average Needs,26,MONROE,0,2692,MONROE 2-ORLEANS,All Students,46,44,0.96,17,0.37,25,0.54,1,0.02,1,0.02
2018-19,School,AMSTERDAM HIGH SCHOOL,2.701E+11,AMSTERDAM CITY SCHOOL DISTRICT,4,Rural High Needs,27,MONTGOMERY,0,2090,HAMILTON-FULTON-MONTGOMERY,All Students,290,213,0.73,145,0.5,45,0.16,0,0,29,0.1
2018-19,School,CANAJOHARIE SENIOR HIGH SCHOOL,2.70301E+11,CANAJOHARIE CENTRAL SCHOOL DISTRICT,4,Rural High Needs,27,MONTGOMERY,0,2090,HAMILTON-FULTON-MONTGOMERY,All Students,81,72,0.89,33,0.41,37,0.46,0,0,4,0.05
2018-19,School,FONDA-FULTONVILLE SENIOR HIGH SCHOOL,2.70601E+11,FONDA-FULTONVILLE CENTRAL SCHOOL DISTRICT,5,Average Needs,27,MONTGOMERY,0,2090,HAMILTON-FULTON-MONTGOMERY,All Students,75,73,0.97,29,0.39,41,0.55,0,0,0,0
2018-19,School,FORT PLAIN JUNIOR-SENIOR HIGH SCHOOL,2.70701E+11,FORT PLAIN CENTRAL SCHOOL DISTRICT,4,Rural High Needs,27,MONTGOMERY,0,2090,HAMILTON-FULTON-MONTGOMERY,All Students,61,55,0.9,29,0.48,16,0.26,0,0,4,0.07
2018-19,School,OPPENHEIM-EPHRATAH-ST JOHNSVILLE HIGH SCHOOL,2.71201E+11,OPPENHEIM-EPHRATAH-ST. JOHNSVILLE CSD,4,Rural High Needs,27,MONTGOMERY,0,2090,HAMILTON-FULTON-MONTGOMERY,All Students,55,43,0.78,28,0.51,13,0.24,0,0,4,0.07
2018-19,School,GLEN COVE HIGH SCHOOL,2.801E+11,GLEN COVE CITY SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,258,210,0.81,102,0.4,84,0.33,6,0.02,17,0.07
2018-19,School,HEMPSTEAD HIGH SCHOOL,2.80201E+11,HEMPSTEAD UNION FREE SCHOOL DISTRICT,3,Urban-Suburban High Needs,28,NASSAU,0,2890,NASSAU,All Students,522,326,0.62,247,0.47,49,0.09,23,0.04,36,0.07
2018-19,School,UNIONDALE HIGH SCHOOL,2.80202E+11,UNIONDALE UNION FREE SCHOOL DISTRICT,3,Urban-Suburban High Needs,28,NASSAU,0,2890,NASSAU,All Students,612,491,0.8,296,0.48,166,0.27,0,0,61,0.1
2018-19,School,W TRESPER CLARKE HIGH SCHOOL,2.80203E+11,EAST MEADOW UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,169,167,0.99,34,0.2,129,0.76,0,0,1,0.01
2018-19,School,EAST MEADOW HIGH SCHOOL,2.80203E+11,EAST MEADOW UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,388,368,0.95,102,0.26,263,0.68,1,0,1,0
2018-19,School,DIVISION AVENUE SENIOR HIGH SCHOOL,2.80205E+11,LEVITTOWN UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,224,220,0.98,82,0.37,134,0.6,0,0,0,0
2018-19,School,GEN. DOUGLAS MACARTHUR SENIOR HIGH SCHOOL,2.80205E+11,LEVITTOWN UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,281,268,0.95,81,0.29,182,0.65,4,0.01,3,0.01
2018-19,School,SEAFORD SENIOR HIGH SCHOOL,2.80206E+11,SEAFORD UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,165,158,0.96,55,0.33,94,0.57,0,0,2,0.01
2018-19,School,EARLY COLLEGE HIGH SCHOOL,2.80208E+11,ROOSEVELT UNION FREE SCHOOL DISTRICT,3,Urban-Suburban High Needs,28,NASSAU,0,2890,NASSAU,All Students,261,183,0.7,143,0.55,16,0.06,0,0,51,0.2
2018-19,School,FREEPORT HIGH SCHOOL,2.80209E+11,FREEPORT UNION FREE SCHOOL DISTRICT,3,Urban-Suburban High Needs,28,NASSAU,0,2890,NASSAU,All Students,576,468,0.81,285,0.49,147,0.26,11,0.02,14,0.02
2018-19,School,BALDWIN SENIOR HIGH SCHOOL,2.8021E+11,BALDWIN UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,375,366,0.98,156,0.42,195,0.52,0,0,0,0
2018-19,School,OCEANSIDE SENIOR HIGH SCHOOL,2.80211E+11,OCEANSIDE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,426,405,0.95,112,0.26,278,0.65,1,0,2,0
2018-19,School,CASTLETON ACADEMY HIGH SCHOOL OF OCEANSIDE,2.80211E+11,OCEANSIDE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,18,12,0.67,7,0.39,0,0,1,0.06,0,0
2018-19,School,MALVERNE SENIOR HIGH SCHOOL,2.80212E+11,MALVERNE UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,150,145,0.97,48,0.32,92,0.61,0,0,2,0.01
2018-19,School,GEORGE W HEWLETT HIGH SCHOOL,2.80214E+11,HEWLETT-WOODMERE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,266,259,0.97,67,0.25,186,0.7,2,0.01,2,0.01
2018-19,School,LAWRENCE SENIOR HIGH SCHOOL,2.80215E+11,LAWRENCE UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,225,186,0.83,83,0.37,79,0.35,0,0,20,0.09
2018-19,School,GARDEN CITY HIGH SCHOOL,2.80218E+11,GARDEN CITY UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,276,274,0.99,21,0.08,252,0.91,0,0,0,0
2018-19,School,EAST ROCKAWAY JUNIOR-SENIOR HIGH SCHOOL,2.80219E+11,EAST ROCKAWAY UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,106,99,0.93,44,0.42,50,0.47,0,0,3,0.03
2018-19,School,LYNBROOK SENIOR HIGH SCHOOL,2.8022E+11,LYNBROOK UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,233,228,0.98,45,0.19,178,0.76,0,0,1,0
2018-19,School,SOUTH SIDE HIGH SCHOOL,2.80221E+11,ROCKVILLE CENTRE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,266,261,0.98,22,0.08,238,0.89,0,0,0,0
2018-19,School,WANTAGH SENIOR HIGH SCHOOL,2.80223E+11,WANTAGH UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,244,240,0.98,62,0.25,174,0.71,0,0,0,0
2018-19,School,ISLAND TREES HIGH SCHOOL,2.80226E+11,ISLAND TREES UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,171,164,0.96,27,0.16,131,0.77,0,0,2,0.01
2018-19,School,WEST HEMPSTEAD HIGH SCHOOL,2.80227E+11,WEST HEMPSTEAD UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,162,157,0.97,73,0.45,77,0.48,0,0,4,0.02
2018-19,School,VALLEY STREAM NORTH HIGH SCHOOL,2.80251E+11,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,233,222,0.95,73,0.31,142,0.61,0,0,6,0.03
2018-19,School,VALLEY STREAM SOUTH HIGH SCHOOL,2.80251E+11,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,209,203,0.97,61,0.29,141,0.67,0,0,0,0
2018-19,School,VALLEY STREAM CENTRAL HIGH SCHOOL,2.80251E+11,VALLEY STREAM CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,324,320,0.99,92,0.28,216,0.67,0,0,2,0.01
2018-19,School,ELMONT MEMORIAL JUNIOR-SENIOR HIGH SCHOOL,2.80252E+11,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,303,288,0.95,121,0.4,152,0.5,0,0,4,0.01
2018-19,School,FLORAL PARK MEMORIAL HIGH SCHOOL,2.80252E+11,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,245,231,0.94,89,0.36,130,0.53,0,0,0,0
2018-19,School,H FRANK CAREY JUNIOR-SENIOR HIGH SCHOOL,2.80252E+11,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,282,278,0.99,89,0.32,177,0.63,0,0,2,0.01
2018-19,School,NEW HYDE PARK MEMORIAL JUNIOR-SENIOR HIGH SCHOOL,2.80252E+11,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,276,255,0.92,84,0.3,168,0.61,0,0,5,0.02
2018-19,School,SEWANHAKA HIGH SCHOOL,2.80252E+11,SEWANHAKA CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,302,285,0.94,144,0.48,120,0.4,0,0,3,0.01
2018-19,School,SANFORD H CALHOUN HIGH SCHOOL,2.80253E+11,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,306,300,0.98,58,0.19,237,0.77,1,0,0,0
2018-19,School,WELLINGTON C. MEPHAM HIGH SCHOOL,2.80253E+11,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,309,292,0.94,64,0.21,221,0.72,3,0.01,1,0
2018-19,School,JOHN F. KENNEDY HIGH SCHOOL,2.80253E+11,BELLMORE-MERRICK CENTRAL HIGH SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,241,233,0.97,44,0.18,186,0.77,1,0,2,0.01
2018-19,School,LONG BEACH SENIOR HIGH SCHOOL,2.803E+11,LONG BEACH CITY SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,336,325,0.97,141,0.42,165,0.49,2,0.01,5,0.01
2018-19,School,WESTBURY HIGH SCHOOL,2.80401E+11,WESTBURY UNION FREE SCHOOL DISTRICT,3,Urban-Suburban High Needs,28,NASSAU,0,2890,NASSAU,All Students,416,349,0.84,220,0.53,91,0.22,0,0,41,0.1
2018-19,School,WHEATLEY SCHOOL,2.80402E+11,EAST WILLISTON UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,135,132,0.98,17,0.13,115,0.85,0,0,1,0.01
2018-19,School,ROSLYN HIGH SCHOOL,2.80403E+11,ROSLYN UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,260,254,0.98,39,0.15,214,0.82,0,0,0,0
2018-19,School,PAUL D SCHREIBER SENIOR HIGH SCHOOL,2.80404E+11,PORT WASHINGTON UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,409,372,0.91,83,0.2,282,0.69,0,0,16,0.04
2018-19,School,MANHASSET SENIOR HIGH SCHOOL,2.80406E+11,MANHASSET UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,277,275,0.99,33,0.12,238,0.86,0,0,1,0
2018-19,School,GREAT NECK SOUTH HIGH SCHOOL,2.80407E+11,GREAT NECK UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,301,291,0.97,39,0.13,247,0.82,0,0,3,0.01
2018-19,School,GREAT NECK NORTH HIGH SCHOOL,2.80407E+11,GREAT NECK UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,290,269,0.93,49,0.17,212,0.73,0,0,3,0.01
2018-19,School,VILLAGE SCHOOL,2.80407E+11,GREAT NECK UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,-,-,-,-,-,-,-,-,-,-,-
2018-19,School,HERRICKS HIGH SCHOOL,2.80409E+11,HERRICKS UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,303,299,0.99,37,0.12,261,0.86,0,0,2,0.01
2018-19,School,MINEOLA HIGH SCHOOL,2.8041E+11,MINEOLA UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,191,182,0.95,40,0.21,133,0.7,0,0,4,0.02
2018-19,School,CARLE PLACE MIDDLE SENIOR HIGH SCHOOL,2.80411E+11,CARLE PLACE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,103,96,0.93,37,0.36,56,0.54,0,0,2,0.02
2018-19,School,NORTH SHORE SENIOR HIGH SCHOOL,2.80501E+11,NORTH SHORE CENTRAL SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,208,204,0.98,22,0.11,177,0.85,0,0,1,0
2018-19,School,SYOSSET SENIOR HIGH SCHOOL,2.80502E+11,SYOSSET CENTRAL SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,472,458,0.97,63,0.13,393,0.83,0,0,3,0.01
2018-19,School,LOCUST VALLEY HIGH SCHOOL,2.80503E+11,LOCUST VALLEY CENTRAL SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,154,153,0.99,33,0.21,120,0.78,0,0,1,0.01
2018-19,School,PLAINVIEW-OLD BETHPAGE/JFK HIGH SCHOOL,2.80504E+11,PLAINVIEW-OLD BETHPAGE CENTRAL SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,362,361,1,43,0.12,307,0.85,0,0,0,0
2018-19,School,OYSTER BAY HIGH SCHOOL,2.80506E+11,OYSTER BAY-EAST NORWICH CENTRAL SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,113,105,0.93,35,0.31,69,0.61,0,0,4,0.04
2018-19,School,JERICHO SENIOR HIGH SCHOOL,2.80515E+11,JERICHO UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,280,278,0.99,23,0.08,253,0.9,0,0,0,0
2018-19,School,HICKSVILLE HIGH SCHOOL,2.80517E+11,HICKSVILLE UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,427,393,0.92,195,0.46,185,0.43,0,0,15,0.04
2018-19,School,PLAINEDGE SENIOR HIGH SCHOOL,2.80518E+11,PLAINEDGE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,251,241,0.96,87,0.35,140,0.56,0,0,1,0
2018-19,School,BETHPAGE SENIOR HIGH SCHOOL,2.80521E+11,BETHPAGE UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,246,239,0.97,61,0.25,174,0.71,0,0,1,0
2018-19,School,FARMINGDALE SENIOR HIGH SCHOOL,2.80522E+11,FARMINGDALE UNION FREE SCHOOL DISTRICT,5,Average Needs,28,NASSAU,0,2890,NASSAU,All Students,437,410,0.94,157,0.36,220,0.5,0,0,12,0.03
2018-19,School,MASSAPEQUA HIGH SCHOOL,2.80523E+11,MASSAPEQUA UNION FREE SCHOOL DISTRICT,6,Low Needs,28,NASSAU,0,2890,NASSAU,All Students,538,528,0.98,148,0.28,366,0.68,0,0,3,0.01
2018-19,School,HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,28,25,0.89,20,0.71,2,0.07,0,0,3,0.11
2018-19,School,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,99,93,0.94,63,0.64,18,0.18,0,0,4,0.04
2018-19,School,EAST SIDE COMMUNITY HIGH SCHOOL,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,93,84,0.9,84,0.9,0,0,2,0.02,1,0.01
2018-19,School,FORSYTHE SATELLITE ACADEMY,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,79,20,0.25,14,0.18,0,0,0,0,7,0.09
2018-19,School,MARTA VALLE SECONDARY SCHOOL,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,38,33,0.87,24,0.63,1,0.03,0,0,2,0.05
2018-19,School,LOWER EAST SIDE PREPARATORY SCHOOL,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,241,110,0.46,56,0.23,47,0.2,1,0,51,0.21
2018-19,School,NEW EXPLORATIONS INTO SCIENCE TECH AND MATH SCHOOL,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,140,140,1,25,0.18,112,0.8,0,0,0,0
2018-19,School,CASCADES CENTER FOR TEACHING AND LEARNING,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,101,34,0.34,25,0.25,0,0,2,0.02,30,0.3
2018-19,School,BARD HIGH SCHOOL EARLY COLLEGE,3.101E+11,NEW YORK CITY GEOGRAPHIC DISTRICT # 1,1,NYC,31,NEW YORK,1,3090,NEW YORK CITY,All Students,150,148,0.99,148,0.99,0,0,0,0,0,0
